Key,en,vi,th,ja,es,id,km,ph,bn,zh,hk,tr,fr,ru,ko,fa,pt,es-pe,es-mx,sg,in,au
features_block_13,Challenge,,,チャレンジ,,,,,চ্যালেঞ্জ,挑战,挑戰,,,,챌린지,چالش,,,,,,
features_block_14,Instant,,,インスタント,,,,,ইনস্ট্যান্ট,即时,即時,,,Мгновенно,인스턴트,فوری,,,,,,
features_block_15,"<dt>Target Audience</dt>
																		<dd>Customers new to Prop Firms or Derivatives Markets</dd>",,"<dt>กลุ่มเป้าหมาย</dt>
																		<dd>ลูกค้าที่เพิ่งเริ่มต้นกับ Prop Firm หรือ ตลาดอนุพันธ์</dd>","<dt>対象ユーザー</dt>
																		<dd>プロップトレーディングやデリバティブ市場に初めて参加する日本のトレーダー</dd>","<dt>Público objetivo</dt>
																		<dd>Clientes nuevos en Prop Firms o en los mercados de derivados</dd>","<dt>Target Audiens</dt>
																		<dd>Pelanggan baru di Prop Firm atau pasar derivatif</dd>","<dt>ក្រុមគោលដៅ</dt>
																		<dd>អតិថិជនថ្មីក្នុង Prop Firm ឬទីផ្សារដេរីវេ</dd>",,"<dt>লক্ষ্য গ্রাহক</dt>
																		<dd>Prop Firm বা ডেরিভেটিভ মার্কেটে নতুন গ্রাহক</dd>","<dt>目标受众</dt>
																		<dd>刚接触 Prop Firm 或衍生品市场的客户</dd>","<dt>目標受眾</dt>
																		<dd>剛接觸 Prop Firm 或衍生品市場的客戶</dd>","<dt>Hedef Kitle</dt>
																		<dd>Prop firm veya türev piyasalarına yeni giren müşteriler</dd>","<dt>Public cible</dt>
																		<dd>Clients nouveaux dans les prop firms ou les marchés dérivés</dd>","<dt>Целевая аудитория</dt>
																		<dd>Клиенты, новые в Prop Firm или на рынках деривативов</dd>","<dt>대상 사용자</dt>
																		<dd>Prop Firm 또는 파생상품 시장에 처음 참여하는 고객</dd>","<dt>گروه هدف</dt>
																		<dd>مشتریانی که تازه وارد Prop Firm یا بازارهای مشتقه شده‌اند</dd>","<dt>Público-alvo</dt>
																		<dd>Clientes novos em Prop Firms ou mercados de derivativos</dd>","<dt>Público Objetivo</dt>
																		<dd>Clientes nuevos en Prop Trading o mercados de derivados</dd>",,,,
features_block_16,"<dt>Fee Structure</dt>
																		<dd>Low fees, perfect for beginners and suitable for all levels</dd>",,"<dt>โครงสร้างค่าธรรมเนียม</dt>
																		<dd>ค่าธรรมเนียมต่ำ เหมาะสำหรับผู้เริ่มต้นและเหมาะกับทุกระดับ</dd>","<dt>料金体系</dt>
																		<dd>低料金で初心者・全レベルのトレーダーに最適</dd>","<dt>Estructura de tarifas</dt>
																		<dd>Tarifas bajas, perfectas para principiantes y adecuadas para todos los niveles</dd>","<dt>Struktur Biaya</dt>
																		<dd>Biaya rendah, cocok untuk pemula dan semua tingkat trader</dd>","<dt>រចនាសម្ព័ន្ធថ្លៃសេវា</dt>
																		<dd>ថ្លៃសេវាទាប សាកសមសម្រាប់អ្នកចាប់ផ្តើម និងគ្រប់កម្រិត</dd>",,"<dt>ফি কাঠামো</dt>
																		<dd>কম ফি, নতুনদের জন্য উপযুক্ত এবং সব স্তরের জন্য মানানসই</dd>","<dt>费用结构</dt>
																		<dd>低费用，非常适合初学者并适用于所有水平</dd>","<dt>費用結構</dt>
																		<dd>低費用，非常適合初學者並適用於所有水平</dd>","<dt>Ücret Yapısı</dt>
																		<dd>Düşük ücretler, yeni başlayanlar için ideal ve tüm seviyelere uygun</dd>","<dt>Structure des frais</dt>
																		<dd>Frais faibles, parfaits pour les débutants et adaptés à tous les niveaux</dd>","<dt>Структура комиссий</dt>
																		<dd>Низкие комиссии, идеально для новичков и подходит для всех уровней</dd>","<dt>수수료 구조</dt>
																		<dd>낮은 수수료로 초보자에게 적합하며 모든 수준에 적합</dd>","<dt>ساختار کارمزد</dt>
																		<dd>کارمزد پایین، مناسب برای مبتدیان و تمام سطوح</dd>","<dt>Estrutura de taxas</dt>
																		<dd>Taxas baixas, perfeitas para iniciantes e adequadas para todos os níveis</dd>","<dt>Estructura de Fees</dt>
																		<dd>Fees bajos, ideal para principiantes y adecuado para todos los niveles</dd>",,,,
features_block_17,"<dt>Process</dt>
																		<dd>Simple 2-phase process, easy for customers to get familiar</dd>",,"<dt>กระบวนการ</dt>
																		<dd>กระบวนการ 2 ขั้นตอนที่เรียบง่าย ลูกค้าสามารถทำความคุ้นเคยได้ง่าย</dd>","<dt>プロセス</dt>
																		<dd>シンプルな2フェーズ評価、プロップトレーディングに慣れやすい</dd>","<dt>Proceso</dt>
																		<dd>Proceso simple de 2 fases, fácil para que los clientes se familiaricen</dd>","<dt>Proses</dt>
																		<dd>Proses sederhana 2 tahap, mudah dipahami oleh pelanggan</dd>","<dt>ដំណើរការ</dt>
																		<dd>ដំណើរការ 2 ដំណាក់កាលសាមញ្ញ ងាយស្រួលសម្រាប់អតិថិជនក្នុងការស្គាល់</dd>",,"<dt>প্রক্রিয়া</dt>
																		<dd>সহজ ২-ধাপের প্রক্রিয়া, গ্রাহকদের জন্য সহজে পরিচিত হওয়া যায়</dd>","<dt>流程</dt>
																		<dd>简单的两阶段流程，方便客户快速熟悉</dd>","<dt>流程</dt>
																		<dd>簡單的兩階段流程，方便客戶快速熟悉</dd>","<dt>Süreç</dt>
																		<dd>Müşterilerin kolayca alışabileceği basit 2 aşamalı süreç</dd>","<dt>Processus</dt>
																		<dd>Processus simple en 2 phases, facile à prendre en main pour les clients</dd>","<dt>Процесс</dt>
																		<dd>Простой двухэтапный процесс, легко освоить клиентам</dd>","<dt>프로세스</dt>
																		<dd>고객이 쉽게 익숙해질 수 있는 간단한 2단계 과정</dd>","<dt>فرآیند</dt>
																		<dd>فرآیند ساده دو مرحله‌ای که مشتریان به راحتی با آن آشنا می‌شوند</dd>","<dt>Processo</dt>
																		<dd>Processo simples de 2 fases, fácil para os clientes se familiarizarem</dd>","<dt>Proceso</dt>
																		<dd>Proceso simple en 2 fases, fácil de entender</dd>",,,,
features_block_18,"<dt>Account Type</dt>
																		<dd>Accounts for all asset types</dd>",,"<dt>ประเภทบัญชี</dt>
																		<dd>บัญชีสำหรับสินทรัพย์ทุกประเภท</dd>","<dt>アカウントタイプ</dt>
																		<dd>全資産タイプ対応のマルチアセットアカウント</dd>","<dt>Tipo de cuenta</dt>
																		<dd>Cuentas para todo tipo de activos</dd>","<dt>Jenis Akun</dt>
																		<dd>Akun untuk semua jenis aset</dd>","<dt>ប្រភេទគណនី</dt>
																		<dd>គណនីសម្រាប់ប្រភេទទ្រព្យសម្បត្តិទាំងអស់</dd>",,"<dt>অ্যাকাউন্টের ধরন</dt>
																		<dd>সব ধরনের সম্পদের জন্য অ্যাকাউন্ট</dd>","<dt>账户类型</dt>
																		<dd>适用于所有资产类型的账户</dd>","<dt>帳戶類型</dt>
																		<dd>適用於所有資產類型的帳戶</dd>","<dt>Hesap Türü</dt>
																		<dd>Tüm varlık türleri için hesaplar</dd>","<dt>Type de compte</dt>
																		<dd>Comptes pour tous les types d’actifs</dd>","<dt>Тип счета</dt>
																		<dd>Счета для всех типов активов</dd>","<dt>계정 유형</dt>
																		<dd>모든 자산 유형을 위한 계정</dd>","<dt>نوع حساب</dt>
																		<dd>حساب برای همه انواع دارایی‌ها</dd>","<dt>Tipo de conta</dt>
																		<dd>Contas para todos os tipos de ativos</dd>","<dt>Tipo de Cuenta</dt>
																		<dd>Cuentas para múltiples tipos de activos</dd>",,,,
features_block_19,"<dt>Trading Flexibility</dt>
																		<dd>No limit on news, swing, or scalp trading, no contract size limits</dd>",,"<dt>ความยืดหยุ่นในการเทรด</dt>
																		<dd>ไม่มีข้อจำกัดสำหรับการเทรดข่าว สวิง หรือสแคลป์ และไม่มีข้อจำกัดขนาดสัญญา</dd>","<dt>取引の柔軟性</dt>
																		<dd>ニュース・スイング・スキャルプ取引無制限、ロットサイズ制限なし</dd>","<dt>Flexibilidad de trading</dt>
																		<dd>Sin límites para trading de noticias, swing o scalp, sin límite de tamaño de contrato</dd>","<dt>Fleksibilitas Trading</dt>
																		<dd>Tidak ada batasan untuk trading news, swing, atau scalp, tanpa batas ukuran kontrak</dd>","<dt>ភាពបត់បែនក្នុងការជួញដូរ</dt>
																		<dd>គ្មានដែនកំណត់សម្រាប់ការជួញដូរព័ត៌មាន Swing ឬ Scalp និងគ្មានដែនកំណត់ទំហំកុងត្រា</dd>",,"<dt>ট্রেডিং নমনীয়তা</dt>
																		<dd>নিউজ, সুইং বা স্ক্যাল্প ট্রেডিংয়ে কোনো সীমা নেই, কন্ট্রাক্ট সাইজেরও সীমা নেই</dd>","<dt>交易灵活性</dt>
																		<dd>新闻交易、波段交易或剥头皮交易均无限制，也没有合约规模限制</dd>","<dt>交易靈活性</dt>
																		<dd>新聞交易、波段或剝頭皮交易均無限制，也沒有合約規模限制</dd>","<dt>İşlem Esnekliği</dt>
																		<dd>Haber, swing veya scalp işlemlerinde sınır yok, kontrat büyüklüğü limiti yok</dd>","<dt>Flexibilité de trading</dt>
																		<dd>Aucune limite pour le trading sur news, swing ou scalp, aucune limite de taille de contrat</dd>","<dt>Гибкость торговли</dt>
																		<dd>Без ограничений на торговлю по новостям, свинг или скальпинг, без ограничений размера контракта</dd>","<dt>거래 유연성</dt>
																		<dd>뉴스, 스윙, 스캘핑 거래에 제한 없음, 계약 규모 제한 없음</dd>","<dt>انعطاف‌پذیری در معامله</dt>
																		<dd>بدون محدودیت برای معامله در اخبار، سوئینگ یا اسکالپ و بدون محدودیت اندازه قرارداد</dd>","<dt>Flexibilidade de trading</dt>
																		<dd>Sem limite para trading de notícias, swing ou scalp, sem limite de tamanho de contrato</dd>","<dt>Flexibilidad de Trading</dt>
																		<dd>Sin límites en news, swing o scalp trading, sin restricciones de tamaño de contrato</dd>",,,,
features_block_2,,,,WeMasterTrade を際立たせる機能をご覧ください,,,,,,,,,,,,,,,,,,
features_block_20,<dt>Performance-based Rewards Sharing</dt><dd>Reward sharing from the challenge phase and 90% rate after funding</dd>,,<dt>การแบ่งผลตอบแทนตามผลงาน</dt><dd>เริ่มแบ่งผลตอบแทนตั้งแต่ช่วง Challenge และสูงสุดถึง 90% หลังได้รับเงินทุน</dd>,<dt>報酬シェア</dt><dd>チャレンジフェーズから30%＋ファンデッド後最大90%</dd>,<dt>Reparto de Recompensas basadas en el Rendimiento</dt><dd>Reparto desde la fase de desafío y hasta el 90% después de financiación</dd>,,<dt>ការចែករំលែករង្វាន់ផ្អែកលើលទ្ធផល</dt><dd>ចាប់ផ្តើមចែករំលែកនៅវគ្គ Challenge ហើយអាចដល់ 90% បន្ទាប់ពីទទួលទុន</dd>,,<dt>পারফরম্যান্স-ভিত্তিক রিওয়ার্ড শেয়ারিং</dt><dd>চ্যালেঞ্জ পর্যায় থেকেই রিওয়ার্ড শেয়ারিং এবং ফান্ডিং-এর পর সর্বোচ্চ ৯০%</dd>,<dt>绩效奖励分成</dt><dd>从挑战阶段开始分成，资金阶段后最高可达 90%</dd>,<dt>績效獎勵分成</dt><dd>從挑戰階段開始分成，資金階段後最高可達90%</dd>,"<dt>Performansa Dayalı Ödül Paylaşımı</dt><dd>Challenge aşamasından itibaren ödül paylaşımı, fonlama sonrası %90'a kadar</dd>",<dt>Partage de Récompenses Basées sur la Performance</dt><dd>Partage dès la phase de challenge et jusqu’à 90 % après financement</dd>,<dt>Распределение вознаграждений по результатам</dt><dd>Распределение с этапа Challenge и до 90% после финансирования</dd>,"<dt>성과 기반 리워드 분배</dt><dd>챌린지 단계부터 분배되며, 펀딩 이후 최대 90%</dd>",<dt>تقسیم پاداش مبتنی بر عملکرد</dt><dd>از مرحله چالش آغاز شده و پس از تأمین سرمایه تا ۹۰٪ می‌رسد</dd>,<dt>Compartilhamento de Recompensas Baseadas em Desempenho</dt><dd>Compartilhamento desde a fase de desafio e até 90% após o financiamento</dd>,,,,,
features_block_21,"<dt>Retry Option</dt>
																		<dd>Reset discount program for retake the challenge phase at a lower cost</dd>",,"<dt>ตัวเลือกการลองใหม่</dt>
																		<dd>โปรแกรมส่วนลดรีเซ็ตเพื่อเข้าร่วม Challenge ใหม่ในต้นทุนที่ต่ำกว่า</dd>","<dt>再挑戦オプション</dt>
																		<dd>30%割引でチャレンジフェーズを再受験可能</dd>","<dt>Opción de reintento</dt>
																		<dd>Programa de descuento para reiniciar y repetir la fase Challenge a menor costo</dd>","<dt>Opsi Coba Lagi</dt>
																		<dd>Program diskon reset untuk mengikuti kembali fase challenge dengan biaya lebih rendah</dd>","<dt>ជម្រើសសាកល្បងម្ដងទៀត</dt>
																		<dd>កម្មវិធីបញ្ចុះតម្លៃសម្រាប់កំណត់ឡើងវិញ ដើម្បីចូលរួម Challenge ម្ដងទៀតក្នុងតម្លៃទាប</dd>",,"<dt>পুনরায় চেষ্টা করার অপশন</dt>
																		<dd>কম খরচে Challenge পর্যায় পুনরায় নেওয়ার জন্য রিসেট ডিসকাউন্ট প্রোগ্রাম</dd>","<dt>重试选项</dt>
																		<dd>提供重置折扣计划，以更低成本重新参加挑战阶段</dd>","<dt>重試選項</dt>
																		<dd>提供重置折扣計劃，以更低成本重新參加挑戰階段</dd>","<dt>Tekrar Deneme Seçeneği</dt>
																		<dd>Challenge aşamasını daha düşük maliyetle tekrar almak için reset indirim programı</dd>","<dt>Option de nouvelle tentative</dt>
																		<dd>Programme de remise pour réinitialiser et reprendre la phase Challenge à moindre coût</dd>","<dt>Опция повторной попытки</dt>
																		<dd>Программа скидки для сброса и повторного прохождения этапа Challenge по более низкой стоимости</dd>","<dt>재도전 옵션</dt>
																		<dd>더 낮은 비용으로 챌린지 단계를 다시 시도할 수 있는 리셋 할인 프로그램</dd>","<dt>گزینه تلاش مجدد</dt>
																		<dd>برنامه تخفیف برای ریست و شرکت مجدد در مرحله چالش با هزینه کمتر</dd>","<dt>Opção de nova tentativa</dt>
																		<dd>Programa de desconto para reiniciar e refazer a fase Challenge com menor custo</dd>","<dt>Opción de Reintento</dt>
																		<dd>Programa de descuento Reset para repetir la fase challenge a menor costo</dd>",,,,
features_block_22,"<dt>Best Option For</dt>
																		<dd>Beginners, to get familiar and develop trading skills at the lowest cost</dd>",,"<dt>ตัวเลือกที่เหมาะที่สุดสำหรับ</dt>
																		<dd>ผู้เริ่มต้น เพื่อทำความคุ้นเคยและพัฒนาทักษะการเทรดด้วยต้นทุนต่ำที่สุด</dd>","<dt>おすすめ対象</dt>
																		<dd>最低コストでスキルを磨きたい初心者のプロップトレーダー</dd>","<dt>Mejor opción para</dt>
																		<dd>Principiantes, para familiarizarse y desarrollar habilidades de trading al menor costo</dd>","<dt>Pilihan Terbaik Untuk</dt>
																		<dd>Pemula, untuk mengenal dan mengembangkan keterampilan trading dengan biaya terendah</dd>","<dt>ជម្រើសល្អបំផុតសម្រាប់</dt>
																		<dd>អ្នកចាប់ផ្តើម ដើម្បីស្គាល់ និងអភិវឌ្ឍជំនាញជួញដូរដោយចំណាយទាបបំផុត</dd>",,"<dt>সবচেয়ে উপযুক্ত</dt>
																		<dd>নতুনদের জন্য, কম খরচে ট্রেডিং দক্ষতা শেখা ও উন্নয়নের জন্য</dd>","<dt>最佳选择</dt>
																		<dd>适合初学者，以最低成本熟悉并提升交易技能</dd>","<dt>最佳選擇</dt>
																		<dd>適合初學者，以最低成本熟悉並提升交易技能</dd>","<dt>En Uygun Seçenek</dt>
																		<dd>Yeni başlayanlar için, en düşük maliyetle trading becerilerini öğrenmek ve geliştirmek</dd>","<dt>Meilleure option pour</dt>
																		<dd>Les débutants, pour se familiariser et développer leurs compétences de trading à moindre coût</dd>","<dt>Лучший вариант для</dt>
																		<dd>Новичков, чтобы познакомиться и развить навыки торговли с минимальными затратами</dd>","<dt>추천 대상</dt>
																		<dd>초보자에게 적합, 가장 낮은 비용으로 거래에 익숙해지고 실력을 향상</dd>","<dt>بهترین گزینه برای</dt>
																		<dd>مبتدیان برای آشنایی و توسعه مهارت‌های معامله با کمترین هزینه</dd>","<dt>Melhor opção para</dt>
																		<dd>Iniciantes, para se familiarizar e desenvolver habilidades de trading com o menor custo</dd>","<dt>Mejor Opción Para</dt>
																		<dd>Principiantes que buscan desarrollar habilidades al menor costo</dd>",,,,
